2	0	2.5	12.9904
2	0	5	8.66025
2	0		
2	1	5	8.66025
2	1	7.5	12.9904
2	1	10	8.66025
2	1		
2	2	10	8.66025
2	2	12.5	12.9904
2	2	15	8.66025
2	2		
2	3	15	8.66025
2	3	17.5	12.9904
2	3	20	8.66025
2	3		
2	4	20	8.66025
2	4	22.5	12.9904
2	4	25	8.66025
2	4		
2	5	25	8.66025
2	5	27.5	12.9904
2	5	30	8.66025
2	5		
2	6	30	8.66025
2	6	32.5	12.9904
2	6	35	8.66025
2	6		
2	7	35	8.66025
2	7	37.5	12.9904
2	7	40	8.66025
2	7		
2	8	40	8.66025
2	8	42.5	12.9904
2	8	45	8.66025
2	8		
2	9	45	8.66025
2	9	47.5	12.9904
2	9	0	0
2	9		
2	0	2.5	12.9904
2	0	7.5	12.9904
2	0	5	8.66025
2	0		
2	1	7.5	12.9904
2	1	12.5	12.9904
2	1	10	8.66025
2	1		
2	2	12.5	12.9904
2	2	17.5	12.9904
2	2	15	8.66025
2	2		
2	3	17.5	12.9904
2	3	22.5	12.9904
2	3	20	8.66025
2	3		
2	4	22.5	12.9904
2	4	27.5	12.9904
2	4	25	8.66025
2	4		
2	5	27.5	12.9904
2	5	32.5	12.9904
2	5	30	8.66025
2	5		
2	6	32.5	12.9904
2	6	37.5	12.9904
2	6	35	8.66025
2	6		
2	7	37.5	12.9904
2	7	42.5	12.9904
2	7	40	8.66025
2	7		
2	8	42.5	12.9904
2	8	47.5	12.9904
2	8	45	8.66025
2	8		
2	9	47.5	12.9904
2	9	0	0
2	9	0	0
2	9		
3	0	2.5	12.9904
3	0	0	17.3205
3	0	7.5	12.9904
3	0		
3	1	7.5	12.9904
3	1	5	17.3205
3	1	12.5	12.9904
3	1		
3	2	12.5	12.9904
3	2	10	17.3205
3	2	17.5	12.9904
3	2		
3	3	17.5	12.9904
3	3	15	17.3205
3	3	22.5	12.9904
3	3		
3	4	22.5	12.9904
3	4	20	17.3205
3	4	27.5	12.9904
3	4		
3	5	27.5	12.9904
3	5	25	17.3205
3	5	32.5	12.9904
3	5		
3	6	32.5	12.9904
3	6	30	17.3205
3	6	37.5	12.9904
3	6		
3	7	37.5	12.9904
3	7	35	17.3205
3	7	42.5	12.9904
3	7		
3	8	42.5	12.9904
3	8	40	17.3205
3	8	47.5	12.9904
3	8		
3	9	47.5	12.9904
3	9	45	17.3205
3	9	0	0
3	9		
3	0	0	17.3205
3	0	5	17.3205
3	0	7.5	12.9904
3	0		
3	1	5	17.3205
3	1	10	17.3205
3	1	12.5	12.9904
3	1		
3	2	10	17.3205
3	2	15	17.3205
3	2	17.5	12.9904
3	2		
3	3	15	17.3205
3	3	20	17.3205
3	3	22.5	12.9904
3	3		
3	4	20	17.3205
3	4	25	17.3205
3	4	27.5	12.9904
3	4		
3	5	25	17.3205
3	5	30	17.3205
3	5	32.5	12.9904
3	5		
3	6	30	17.3205
3	6	35	17.3205
3	6	37.5	12.9904
3	6		
3	7	35	17.3205
3	7	40	17.3205
3	7	42.5	12.9904
3	7		
3	8	40	17.3205
3	8	45	17.3205
3	8	47.5	12.9904
3	8		
3	9	45	17.3205
3	9	0	0
3	9	0	0
3	9		
4	0	0	17.3205
4	0	2.5	21.6506
4	0	5	17.3205
4	0		
4	1	5	17.3205
4	1	7.5	21.6506
4	1	10	17.3205
4	1		
4	2	10	17.3205
4	2	12.5	21.6506
4	2	15	17.3205
4	2		
4	3	15	17.3205
4	3	17.5	21.6506
4	3	20	17.3205
4	3		
4	4	20	17.3205
4	4	22.5	21.6506
4	4	25	17.3205
4	4		
4	5	25	17.3205
4	5	27.5	21.6506
4	5	30	17.3205
4	5		
4	6	30	17.3205
4	6	32.5	21.6506
4	6	35	17.3205
4	6		
4	7	35	17.3205
4	7	37.5	21.6506
4	7	40	17.3205
4	7		
4	8	40	17.3205
4	8	42.5	21.6506
4	8	45	17.3205
4	8		
4	9	45	17.3205
4	9	47.5	21.6506
4	9	0	0
4	9		
4	0	2.5	21.6506
4	0	7.5	21.6506
4	0	5	17.3205
4	0		
4	1	7.5	21.6506
4	1	12.5	21.6506
4	1	10	17.3205
4	1		
4	2	12.5	21.6506
4	2	17.5	21.6506
4	2	15	17.3205
4	2		
4	3	17.5	21.6506
4	3	22.5	21.6506
4	3	20	17.3205
4	3		
4	4	22.5	21.6506
4	4	27.5	21.6506
4	4	25	17.3205
4	4		
4	5	27.5	21.6506
4	5	32.5	21.6506
4	5	30	17.3205
4	5		
4	6	32.5	21.6506
4	6	37.5	21.6506
4	6	35	17.3205
4	6		
4	7	37.5	21.6506
4	7	42.5	21.6506
4	7	40	17.3205
4	7		
4	8	42.5	21.6506
4	8	47.5	21.6506
4	8	45	17.3205
4	8		
4	9	47.5	21.6506
4	9	0	0
4	9	0	0
4	9		
5	0	2.5	21.6506
5	0	0	25.9808
5	0	7.5	21.6506
5	0		
5	1	7.5	21.6506
5	1	5	25.9808
5	1	12.5	21.6506
5	1		
5	2	12.5	21.6506
5	2	10	25.9808
5	2	17.5	21.6506
5	2		
5	3	17.5	21.6506
5	3	15	25.9808
5	3	22.5	21.6506
5	3		
5	4	22.5	21.6506
5	4	20	25.9808
5	4	27.5	21.6506
5	4		
5	5	27.5	21.6506
5	5	25	25.9808
5	5	32.5	21.6506
5	5		
5	6	32.5	21.6506
5	6	30	25.9808
5	6	37.5	21.6506
5	6		
5	7	37.5	21.6506
5	7	35	25.9808
